"Source:","/usr/local/tmp/easysdr/schematic/schematic.kicad_sch"
"Date:","Wed 23 Apr 2025 07:54:45 PM"
"Tool:","Eeschema 7.0.11+dfsg-1build4"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","33"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","STANDARD","SnapEDA_Link"
"1","3","C1, C8, C9","1n","Device:C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~","","","","Capacitor, 50V, 2.5mm lead spacing","","","","","","","","",""
"2","4","C2, C3, C4, C5","220n","Device:C_Small","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","","",""
"3","2","C6, C7","470p","Device:C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~","","","","","","","","","","","","",""
"4","3","C10, C11, C12","100n","Device:C_Small","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","","",""
"5","2","C13, C14","2..20p","Device:C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~","","","","","","","","","","","","",""
"6","2","C15, C16","1µ","Device:C_Small","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","","",""
"7","1","J1","RF_In","Connector_Generic:Conn_01x01","Connector_Pin:Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","~","","","","","","","","","","","","",""
"8","1","J2","OSC3","Connector_Generic:Conn_01x01","Connector_Pin:Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","~","","","","","","","","","","","","",""
"9","1","J3","I","Connector_Generic:Conn_01x01","Connector_Pin:Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","~","","","","","","","","","","","","",""
"10","1","J4","Q","Connector_Generic:Conn_01x01","Connector_Pin:Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","~","","","","","","","","","","","","",""
"11","1","J5","+5V","Connector_Generic:Conn_01x01","Connector_Pin:Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","~","","","","","","","","","","","","",""
"12","1","J6","+3.3V","Connector_Generic:Conn_01x01","Connector_Pin:Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","~","","","","","","","","","","","","",""
"13","6","R1, R2, R3, R4, R5, R6","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","",""
"14","1","U1","CBT3253","Analog_Switch:SN74CBT3253","Package_SO:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74cbt3253","","","","","","","","","","","","",""
"15","1","U2","LM4562","Amplifier_Operational:LM4562","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/lm4562.pdf","","","","","","","","","","","","",""
"16","1","U3","ESP32-DEVKIT","ESP32-DEVKIT-V1:ESP32-DEVKIT-V1","parts:MODULE_ESP32_DEVKIT_V1","","","Not in stock","https://www.snapeda.com/parts/ESP32-DEVKIT-V1/Do+it/view-part/?ref=eda","Dual core, Wi-Fi: 2.4 GHz up to 150 Mbits/s,BLE (Bluetooth Low Energy) and legacy Bluetooth, 32 bits, Up to 240 MHz","DOIT","6.8 mm","Do it","ESP32-DEVKIT-V1","N/A","None","None","Manufacturer Recommendations","https://www.snapeda.com/parts/ESP32-DEVKIT-V1/Do+it/view-part/?ref=snap"
"17","1","U4","Si5351A-B-GT","Oscillator:Si5351A-B-GT","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf","","","","","","","","","","","","",""
"18","1","Y1","25MHz","Device:Crystal_Small","Crystal:Crystal_HC49-U_Vertical","~","","","","","","","","","","","","",""
